@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
45,6,10,11,2,1
53,12,18,19,4,?
26,5,19,19,1,5
29,11,18,18,3,16
39,10,24,24,4,?
15,13,0,0,2,1
33,6,19,20,2,11
34,4,12,21,1,4
26,6,12,12,2,6
54,10,16,20,4,?
28,15,18,18,3,1
41,6,6,5,2,12
24,13,21,23,2,15
47,11,16,26,4,?
24,11,13,20,1,19
27,10,13,20,4,?
22,12,18,0,3,18
38,11,13,21,4,?
34,12,17,17,2,16
28,9,14,16,3,1
19,10,14,0,1,1
24,9,16,21,3,20
22,12,18,18,1,12
22,14,15,20,3,16
55,15,18,18,2,15
19,11,19,0,3,13
27,4,14,14,3,15
26,12,16,16,3,12
21,12,17,18,2,1
30,10,15,17,3,15
35,5,17,21,3,18
33,15,17,17,2,14
34,14,15,17,3,31
44,5,11,15,3,35
32,12,5,23,2,1
47,6,10,18,4,?
29,10,17,20,3,20
21,5,14,15,3,14
47,12,19,22,4,?
25,15,16,19,3,17
22,12,15,18,1,14
34,11,11,17,2,12
26,13,14,15,6,12
